raw,doi_sample,container_title,issn,publisher,venue_key,norm_raw,norm_key
2025 4th International Conference on Creative Communication and Innovative Technology (ICCIT),10.1109/ICCIT65724.2025.11167619,2025 4th International Conference on Creative Communication and Innovative Technology (ICCIT),,IEEE,2025 4th international conference on creative communication and innovative technology  iccit,2025 4th international conference on creative communication and innovative technology,2025 4th international conference on creative communication and innovative technology iccit
"2024 International Conference on Computing, Robotics and System Sciences (ICRSS)",10.1109/ICRSS65752.2024.00032,"2024 International Conference on Computing, Robotics and System Sciences (ICRSS)",,IEEE,2024 international conference on computing  robotics and system sciences  icrss,2024 international conference on computing robotics and system sciences,2024 international conference on computing robotics and system sciences icrss
2024 9th International Conference on Signal and Image Processing (ICSIP),10.1109/ICSIP61881.2024.10671462,2024 9th International Conference on Signal and Image Processing (ICSIP),,IEEE,2024 9th international conference on signal and image processing  icsip,2024 9th international conference on signal and image processing,2024 9th international conference on signal and image processing icsip
"2021 IEEE 23rd Int Conf on High Performance Computing \& Communications; 7th Int Conf on Data Science \& Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud \& Big Data Systems \& Application (HPCC/DSS/SmartCity/DependSys)",10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00178,"2021 IEEE 23rd Int Conf on High Performance Computing &amp; Communications; 7th Int Conf on Data Science &amp; Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud &amp; Big Data Systems &amp; Application (HPCC/DSS/SmartCity/DependSys)",,IEEE,2021 ieee 23rd int conf on high performance computing amp communications 7th int conf on data science amp systems 19th int conf on smart city 7th int conf on dependability in sensor cloud amp big data systems amp application,2021 ieee 23rd int conf on high performance computing communications 7th int conf on data science systems 19th int conf on smart city 7th int conf on dependability in sensor cloud big data systems application,2021 ieee 23rd int conf on high performance computing amp communications 7th int conf on data science amp systems 19th int conf on smart city 7th int conf on dependability in sensor cloud amp big data systems amp application
"2023 2nd International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR)",10.1109/AIHCIR61661.2023.00053,"2023 2nd International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR)",,IEEE,2023 2nd international conference on artificial intelligence  human computer interaction and robotics  aihcir,2023 2nd international conference on artificial intelligence human computer interaction and robotics,2023 2nd international conference on artificial intelligence human computer interaction and robotics aihcir
IEEE Transactions on Games,10.1109/TG.2022.3228480,IEEE Transactions on Games,2475-1502,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2475-1502,ieee trans games,issn 2475 1502
2024 13th Mediterranean Conference on Embedded Computing (MECO),10.1109/MECO62516.2024.10577853,2024 13th Mediterranean Conference on Embedded Computing (MECO),,IEEE,2024 13th mediterranean conference on embedded computing  meco,2024 13th mediterranean conference on embedded computing,2024 13th mediterranean conference on embedded computing meco
2012 IEEE Conference on Computational Intelligence and Games (CIG),10.1109/CIG.2012.6374126,2012 IEEE Conference on Computational Intelligence and Games (CIG),,IEEE,2012 ieee conference on computational intelligence and games,2012 ieee conference on computational intelligence and games,2012 ieee conference on computational intelligence and games
2025 12th International Conference on Machine Intelligence Theory and Applications (MiTA),10.1109/MiTA66017.2025.11100261,2025 12th International Conference on Machine Intelligence Theory and Applications (MiTA),,IEEE,2025 12th international conference on machine intelligence theory and applications  mita,2025 12th international conference on machine intelligence theory and applications,2025 12th international conference on machine intelligence theory and applications mita
IEEE Transactions on Image Processing,10.1109/TIP.2019.2895768,IEEE Transactions on Image Processing,1057-7149,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1057-7149,ieee trans image processing,issn 1057 7149
"2023 7th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",10.1109/ICECA58529.2023.10395092,"2023 7th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",,IEEE,2023 7th international conference on electronics  communication and aerospace technology  iceca,2023 7th international conference on electronics communication and aerospace technology,2023 7th international conference on electronics communication and aerospace technology iceca
2025 27th International Conference on Advanced Communications Technology (ICACT),10.23919/ICACT63878.2025.10936654,2025 27th International Conference on Advanced Communications Technology (ICACT),,IEEE,2025 27th international conference on advanced communications technology  icact,2025 27th international conference on advanced communications technology,2025 27th international conference on advanced communications technology icact
2025 IEEE International Conference on Smart Computing (SMARTCOMP),10.1109/SMARTCOMP65954.2025.00096,2025 IEEE International Conference on Smart Computing (SMARTCOMP),,IEEE,2025 ieee international conference on smart computing,2025 ieee international conference on smart computing,2025 ieee international conference on smart computing
IEEE Transactions on Multimedia,10.1109/TMM.2021.3065578,IEEE Transactions on Multimedia,1520-9210,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1520-9210,ieee trans multimedia,issn 1520 9210
IEEE Robotics and Automation Letters,10.1109/LRA.2021.3062807,IEEE Robotics and Automation Letters,2377-3766,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2377-3766,ieee robotics and automation letters,issn 2377 3766
2020 International Conference on Engineering Management of Communication and Technology (EMCTECH),10.1109/EMCTECH49634.2020.9261530,2020 International Conference on Engineering Management of Communication and Technology (EMCTECH),,IEEE,2020 international conference on engineering management of communication and technology  emctech,2020 international conference on engineering management of communication and technology,2020 international conference on engineering management of communication and technology emctech
2025 8th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD64986.2025.11082009,2025 8th International Conference on Artificial Intelligence and Big Data (ICAIBD),,IEEE,2025 8th international conference on artificial intelligence and big data  icaibd,2025 8th international conference on artificial intelligence and big data,2025 8th international conference on artificial intelligence and big data icaibd
IEEE Intelligent Systems,10.1109/MIS.2025.3567372,IEEE Intelligent Systems,1541-1672,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1541-1672,ieee intelligent systems,issn 1541 1672
"2024 IEEE Gaming, Entertainment, and Media Conference (GEM)",10.1109/GEM61861.2024.10585442,"2024 IEEE Gaming, Entertainment, and Media Conference (GEM)",,IEEE,2024 ieee gaming entertainment and media conference,2024 ieee gaming entertainment and media conference,2024 ieee gaming entertainment and media conference
2025 5th International Conference on Consumer Electronics and Computer Engineering (ICCECE),10.1109/ICCECE65250.2025.10984591,2025 5th International Conference on Consumer Electronics and Computer Engineering (ICCECE),,IEEE,2025 5th international conference on consumer electronics and computer engineering  iccece,2025 5th international conference on consumer electronics and computer engineering,2025 5th international conference on consumer electronics and computer engineering iccece
2023 IEEE International Conference on Visual Communications and Image Processing (VCIP),10.1109/VCIP59821.2023.10402681,2023 IEEE International Conference on Visual Communications and Image Processing (VCIP),,IEEE,2023 ieee international conference on visual communications and image processing,2023 ieee international conference on visual communications and image processing,2023 ieee international conference on visual communications and image processing
2024 China Automation Congress (CAC),10.1109/CAC63892.2024.10865505,2024 China Automation Congress (CAC),,IEEE,2024 china automation congress  cac,2024 china automation congress,2024 china automation congress cac
2024 4th International Conference on Educational Technology (ICET),10.1109/ICET62460.2024.10868922,2024 4th International Conference on Educational Technology (ICET),,IEEE,2024 4th international conference on educational technology  icet,2024 4th international conference on educational technology,2024 4th international conference on educational technology icet
2022 18th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),10.1109/AVSS56176.2022.9959483,2022 18th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),,IEEE,2022 18th ieee international conference on advanced video and signal based surveillance,2022 18th ieee international conference on advanced video and signal based surveillance,2022 18th ieee international conference on advanced video and signal based surveillance
2023 9th International Conference on Computer and Communications (ICCC),10.1109/ICCC59590.2023.10507390,2023 9th International Conference on Computer and Communications (ICCC),,IEEE,2023 9th international conference on computer and communications  iccc,2023 9th international conference on computer and communications,2023 9th international conference on computer and communications iccc
2025 Advanced Computing and Communication Technologies for High Performance Applications (ACCTHPA),10.1109/ACCTHPA65749.2025.11168496,2025 Advanced Computing and Communication Technologies for High Performance Applications (ACCTHPA),,IEEE,2025 advanced computing and communication technologies for high performance applications  accthpa,2025 advanced computing and communication technologies for high performance applications,2025 advanced computing and communication technologies for high performance applications accthpa
"2024 IEEE Nuclear Science Symposium (NSS), Medical Imaging Conference (MIC) and Room Temperature Semiconductor Detector Conference (RTSD)",10.1109/NSS/MIC/RTSD57108.2024.10657743,"2024 IEEE Nuclear Science Symposium (NSS), Medical Imaging Conference (MIC) and Room Temperature Semiconductor Detector Conference (RTSD)",,IEEE,2024 ieee nuclear science symposium medical imaging conference and room temperature semiconductor detector conference,2024 ieee nuclear science symposium medical imaging conference and room temperature semiconductor detector conference,2024 ieee nuclear science symposium medical imaging conference and room temperature semiconductor detector conference
"2022 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)",10.1109/ICPECTS56089.2022.10047554,"2022 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)",,IEEE,2022 international conference on power  energy  control and transmission systems  icpects,2022 international conference on power energy control and transmission systems,2022 international conference on power energy control and transmission systems icpects
